,DogiCoin_date,DogiCoin_open,DogiCoin_high,DogiCoin_low,DogiCoin_price,DogiCoin_adj,DogiCoin_volume
0,"Jun 01, 2021",0.325744,0.383079,0.312360,0.370077,0.370077,"5,796,031,087"
1,"May 31, 2021",0.301949,0.329163,0.294330,0.325810,0.325810,"2,440,829,325"
2,"May 30, 2021",0.302969,0.310324,0.287680,0.302224,0.302224,"1,929,947,933"
3,"May 29, 2021",0.311398,0.317919,0.281793,0.303110,0.303110,"2,470,710,737"
4,"May 28, 2021",0.333651,0.347879,0.301518,0.311205,0.311205,"3,289,455,640"
5,"May 27, 2021",0.353463,0.353463,0.328144,0.332945,0.332945,"2,485,942,309"
6,"May 26, 2021",0.346396,0.365920,0.338857,0.353693,0.353693,"3,355,793,260"
7,"May 25, 2021",0.366041,0.380010,0.323497,0.346302,0.346302,"5,544,552,739"
8,"May 24, 2021",0.306715,0.371485,0.296291,0.366162,0.366162,"6,821,088,755"
9,"May 23, 2021",0.342522,0.350863,0.249437,0.308071,0.308071,"7,143,545,371"
10,"May 22, 2021",0.358717,0.360517,0.318169,0.342371,0.342371,"5,243,222,352"
11,"May 21, 2021",0.398124,0.411975,0.314766,0.359382,0.359382,"7,452,862,203"
12,"May 20, 2021",0.330252,0.433192,0.296253,0.400194,0.400194,"12,415,484,460"
13,"May 19, 2021",0.476435,0.684735,0.218267,0.333123,0.333123,"15,072,620,946"
14,"May 18, 2021",0.486954,0.515599,0.470384,0.476115,0.476115,"4,802,902,841"
15,"May 17, 2021",0.513413,0.515221,0.458551,0.487892,0.487892,"7,330,830,504"
16,"May 16, 2021",0.507910,0.548145,0.451023,0.514895,0.514895,"9,541,552,064"
17,"May 15, 2021",0.559668,0.562676,0.491299,0.507972,0.507972,"9,836,892,944"
18,"May 14, 2021",0.487070,0.589690,0.464622,0.559604,0.559604,"20,466,177,002"
19,"May 13, 2021",0.392176,0.519461,0.357175,0.490374,0.490374,"18,663,174,069"
20,"May 12, 2021",0.493742,0.519975,0.385376,0.385376,0.385376,"8,621,337,859"
21,"May 11, 2021",0.450488,0.546651,0.445034,0.495231,0.495231,"14,566,975,476"
22,"May 10, 2021",0.569687,0.569687,0.421291,0.449964,0.449964,"16,514,521,828"
23,"May 09, 2021",0.635820,0.697625,0.425706,0.570070,0.570070,"46,138,063,928"
24,"May 08, 2021",0.687801,0.737567,0.608168,0.636439,0.636439,"25,555,125,135"
25,"May 07, 2021",0.581110,0.731972,0.520174,0.684777,0.684777,"28,615,083,657"
26,"May 06, 2021",0.652842,0.663616,0.545102,0.580804,0.580804,"18,989,900,291"
27,"May 05, 2021",0.537355,0.695262,0.523822,0.657633,0.657633,"42,525,098,292"
28,"May 04, 2021",0.440274,0.605998,0.400800,0.541334,0.541334,"38,238,126,181"
29,"May 03, 2021",0.373631,0.445567,0.373631,0.441707,0.441707,"10,526,649,978"
30,"May 02, 2021",0.391087,0.400029,0.364874,0.376046,0.376046,"8,040,406,918"
31,"May 01, 2021",0.337559,0.397135,0.328290,0.392987,0.392987,"10,123,343,703"
32,"Apr 30, 2021",0.304702,0.339757,0.302981,0.337561,0.337561,"5,290,390,982"
33,"Apr 29, 2021",0.323232,0.323881,0.296904,0.305169,0.305169,"5,027,354,503"
34,"Apr 28, 2021",0.272273,0.344662,0.256231,0.323682,0.323682,"14,464,343,767"
35,"Apr 27, 2021",0.271427,0.279629,0.264928,0.272188,0.272188,"3,590,611,310"
36,"Apr 26, 2021",0.251240,0.280452,0.248026,0.270674,0.270674,"5,118,886,527"
37,"Apr 25, 2021",0.269789,0.288771,0.226301,0.251111,0.251111,"6,849,914,675"
38,"Apr 24, 2021",0.249544,0.289390,0.229891,0.270212,0.270212,"11,057,578,568"
39,"Apr 23, 2021",0.261023,0.268378,0.163669,0.248509,0.248509,"16,165,566,164"
40,"Apr 22, 2021",0.305990,0.308757,0.256276,0.260967,0.260967,"11,879,823,706"
41,"Apr 21, 2021",0.316953,0.346966,0.297036,0.306925,0.306925,"12,723,463,706"
42,"Apr 20, 2021",0.408435,0.422347,0.271618,0.319500,0.319500,"28,130,646,191"
43,"Apr 19, 2021",0.320466,0.431751,0.309080,0.407318,0.407318,"30,641,432,779"
44,"Apr 18, 2021",0.285105,0.349918,0.246440,0.320475,0.320475,"23,464,350,388"
45,"Apr 17, 2021",0.366098,0.374455,0.236524,0.284173,0.284173,"31,413,404,067"
46,"Apr 16, 2021",0.181587,0.437700,0.180488,0.365870,0.365870,"69,410,680,685"
47,"Apr 15, 2021",0.121167,0.187326,0.120736,0.182207,0.182207,"17,916,620,386"
48,"Apr 14, 2021",0.094256,0.142510,0.092452,0.121517,0.121517,"20,977,679,327"
49,"Apr 13, 2021",0.070678,0.095181,0.070678,0.093445,0.093445,"7,176,815,090"
50,"Apr 12, 2021",0.074544,0.074986,0.068889,0.070767,0.070767,"2,687,720,380"
51,"Apr 11, 2021",0.063749,0.079243,0.063203,0.074649,0.074649,"6,646,627,317"
52,"Apr 10, 2021",0.061591,0.065068,0.060818,0.063845,0.063845,"1,369,793,118"
53,"Apr 09, 2021",0.061463,0.063910,0.060296,0.061684,0.061684,"1,060,465,774"
54,"Apr 08, 2021",0.059036,0.061745,0.058817,0.061464,0.061464,"1,055,257,541"
55,"Apr 07, 2021",0.064454,0.067299,0.057641,0.059028,0.059028,"2,857,060,849"
56,"Apr 06, 2021",0.059689,0.065050,0.058094,0.064458,0.064458,"2,608,613,912"
57,"Apr 05, 2021",0.057411,0.060153,0.056435,0.059696,0.059696,"1,513,832,721"
58,"Apr 04, 2021",0.055776,0.058107,0.055295,0.057404,0.057404,"938,035,097"
59,"Apr 03, 2021",0.057658,0.059484,0.055804,0.055804,0.055804,"1,136,931,403"
60,"Apr 02, 2021",0.061968,0.062249,0.057333,0.057664,0.057664,"2,166,925,111"
61,"Apr 01, 2021",0.053655,0.070111,0.053644,0.061986,0.061986,"5,816,046,822"
62,"Mar 31, 2021",0.053902,0.054468,0.052269,0.053657,0.053657,"653,389,282"
63,"Mar 30, 2021",0.054052,0.055434,0.053697,0.053900,0.053900,"728,906,171"
64,"Mar 29, 2021",0.053678,0.054651,0.053175,0.054052,0.054052,"537,919,140"
65,"Mar 28, 2021",0.054381,0.054752,0.053013,0.053698,0.053698,"460,472,975"
66,"Mar 27, 2021",0.053940,0.055435,0.053528,0.054377,0.054377,"753,844,053"
67,"Mar 26, 2021",0.051433,0.054028,0.051331,0.053952,0.053952,"776,280,028"
68,"Mar 25, 2021",0.051699,0.052407,0.049697,0.051448,0.051448,"1,084,214,116"
69,"Mar 24, 2021",0.053528,0.056494,0.051242,0.051702,0.051702,"934,537,959"
70,"Mar 23, 2021",0.054941,0.056081,0.052940,0.053556,0.053556,"1,040,781,777"
71,"Mar 22, 2021",0.057259,0.057732,0.054909,0.054962,0.054962,"696,918,565"
72,"Mar 21, 2021",0.058970,0.059521,0.056798,0.057234,0.057234,"759,592,996"
73,"Mar 20, 2021",0.058315,0.060639,0.058120,0.058961,0.058961,"1,012,934,488"
74,"Mar 19, 2021",0.057377,0.059721,0.056604,0.058328,0.058328,"964,747,809"
75,"Mar 18, 2021",0.057640,0.058828,0.054143,0.057383,0.057383,"909,777,445"
76,"Mar 17, 2021",0.058610,0.058866,0.056471,0.057653,0.057653,"861,926,643"
77,"Mar 16, 2021",0.057086,0.058921,0.055493,0.058607,0.058607,"1,393,771,913"
78,"Mar 15, 2021",0.058531,0.059689,0.055141,0.057088,0.057088,"1,738,710,876"
79,"Mar 14, 2021",0.062384,0.063052,0.058592,0.058592,0.058592,"2,752,132,530"
80,"Mar 13, 2021",0.055353,0.062432,0.054756,0.062432,0.062432,"1,869,833,076"
81,"Mar 12, 2021",0.055921,0.056980,0.054513,0.055349,0.055349,"1,287,767,221"
82,"Mar 11, 2021",0.055977,0.056698,0.054502,0.055918,0.055918,"1,233,383,425"
83,"Mar 10, 2021",0.057964,0.058616,0.054692,0.056004,0.056004,"1,534,489,620"
84,"Mar 09, 2021",0.062104,0.062268,0.056051,0.057998,0.057998,"2,466,159,943"
85,"Mar 08, 2021",0.052123,0.061949,0.051672,0.061949,0.061949,"3,554,150,800"
86,"Mar 07, 2021",0.050980,0.052141,0.050572,0.052122,0.052122,"945,455,832"
87,"Mar 06, 2021",0.049601,0.052397,0.049383,0.050984,0.050984,"1,480,482,384"
88,"Mar 05, 2021",0.050028,0.050854,0.048147,0.049609,0.049609,"1,173,113,591"
89,"Mar 04, 2021",0.050587,0.051087,0.047879,0.050048,0.050048,"1,170,617,084"
90,"Mar 03, 2021",0.050278,0.052126,0.050078,0.050592,0.050592,"1,093,877,445"
91,"Mar 02, 2021",0.050596,0.052382,0.049299,0.050262,0.050262,"1,346,282,318"
92,"Mar 01, 2021",0.048070,0.051479,0.048029,0.050599,0.050599,"1,494,427,207"
93,"Feb 28, 2021",0.050097,0.050134,0.045088,0.048052,0.048052,"1,408,101,260"
94,"Feb 27, 2021",0.050500,0.051920,0.049297,0.050083,0.050083,"1,286,229,526"
95,"Feb 26, 2021",0.050138,0.052472,0.048708,0.050480,0.050480,"1,694,323,466"
96,"Feb 25, 2021",0.056615,0.057808,0.049869,0.050167,0.050167,"2,356,982,022"
97,"Feb 24, 2021",0.047414,0.059873,0.046216,0.056555,0.056555,"4,148,511,571"
98,"Feb 23, 2021",0.053698,0.053768,0.042410,0.047392,0.047392,"2,394,345,361"
99,"Feb 22, 2021",0.056044,0.060466,0.047096,0.053725,0.053725,"3,366,757,324"
